,id,name,description,languages,publisher
1753,3Op6CZphOA07nqY8XHqDxY,Frugability,Personal finance basics to set you free. ,['en'],The Frugability Podcast
1754,77n1gbJdfffgqbY0cnbxns,Bull and Bear,"Bull and Bear is the passion project of Drew Woodworth and Omar Fallon, two guys with a microphone that want to go places other than their desk jobs.  Focused on business, financial markets, interviews with industry leaders (and the occasional person no one has heard of but will definitely be the next Spielberg, Gates, etc.) film, and just about anything they find interesting. This show is just getting started and we hope you’ll join us for the journey. Let’s go!",['en-US'],Bull and Bear
1755,5tNTbXsY64OYBXZVl7FbRr,Danso Pitch,"The Danso Pitch is the voice of the next generation future leaders and innovators of tomorrow presented by the Danso Financial Team. We provide lively discussions on leadership, personal finance, investments, entrepreneurship, business acumen, and other skills needed in today’s generation and industries. Support this podcast: https://anchor.fm/danso-financial-group-llc/support",['en'],Danso Financial Group Network 
1756,6GWvqYLkjrUF4KqI3Guo8w,WUWITB UNCUT THE PODCAST,We will be discussing wide ranging topics with a focus on personal and financial development. -Music -World events -What's important to you,['en-US'],WUWITB UNCUT
1757,1GY84KbWYepWSH36EibE4S,Starting with £40,"The idea for this podcast came about when I looked at my bank account and only had £40 left.  With a job starting the day after, I thought the timing was perfect to start talking about my personal finance journey.  Will we reach Financial Freedom? Will it even be a priority?",['en'],Mr Mulla
1758,3XA6pZvPimppKw5L2Axsn6,On The Grind ,"""On The Grind"" is a podcast by way of Jay Bowman & life value brand ""Diamond Grind Inc"". Each episode will touch on various topics such as self growth, building financial independence, mindset transformation, confidence, book reviews and more! Jay tells many personal experiences to really nail it in that you can achieve anything..just stay on the grind!",['en'],Ares Knight
1759,5z8jlpudE4FOcZuFv28Spf,What do YOU want to accomplish with YOUR mortgage?,"Jo Garner is a mortgage officer with extensive knowledge in tailoring mortgages to her customers who are refinancing or purchasing homes all over the country. She offers conventional, FHA, VA, HARP refinances, Rural Housing or other loan programs for refinancing and purchases.  Jo can help you look at rent vs buy, when it makes sense to refinance, how to get the best deal on your home purchase financing. Jo’s mortgage team goes the extra mile for her customers, listening to the customer to make sure the mortgage product fits what they want today and what they need later. If there is an appraisal required, the customer’s loan is given a complete “second look” once the completed appraisal is submitted to see if there are any options for saving the customer more money per month or by lessening costs.  Jo Garner has been in the real estate/financing business for over 20 years. She grew up in West Tennessee and has been in the mortgage business in the Memphis area since 1990. She got her start in Portland, Maine where she first began her real estate career. She received her real estate education from the University of Southern Maine and was personally mentored in San Diego, California by Robert G. Allen, author of Nothing Down, Creating Wealth and The Challenge  Join Jo Garner live on News Radio AM 600 WREC every Saturday 9AM to 10AM CST or on IHEART Radio Subscribe for weekly Real Estate Mortgage Shoppe podcasts with show notes at www.JoGarner.com",['en'],Jo Garner
1760,5uwbdIqR0wJ6gaazN5qnM1,The CarrotCast Podcast for Real Estate Investors & Agents,"Get a behind the scenes “fly on the wall” look at my journey and the journeys of the most successful real estate investors and real estate agents from around the country as we grow businesses that truly provide freedom, flexibility, grows our finances far beyond where we thought possible... and, ultimately helps us make the impact we want to have on the world.  We do this by helping you create predictable lead flow through inbound marketing.  Also... the stuff I love to talk about the most is what makes YOU tick.  How do you perform at a higher level as a person? What productivity hacks do the most successful real estate pros use?  How do you keep motivated and build momentum as a real estate investor or agent?  Are you growing a business that is trapping you... or one that sets you free?  Dive in twice a week with us and finally create the business that you’ve always dreamed of! CarrotCast.com  Trevor Mauch is the CEO of Carrot, a software and training company that helps some of the largest real estate investors and agents in the country generate inbound leads online. As one of the fastest growing companies in America rated by Inc. Magazine (and the #1 fastest growing software company in Oregon), Carrot has helped it members generate over 3,000,000 leads online over 5 years, and growing. Visit us at www.CarrotCast.com",['en'],Carrot w/ Trevor Mauch
1761,2s1IBMnJtzBe0bR5jzgduB,Sheinvesting ,Personal finance  Cover art photo provided by JJ Ying on Unsplash: https://unsplash.com/@jjying,['en'],Abigail Enigbokan
1762,3C9QYUMZvlbewuI7dX0pW2,The Hot Mama Movement,"The Hot Mama Movement is a podcast for moms who want to get their stuff together with health, relationships, finances, work and anything else life throws at them. This is for moms wanting to do more than just be a mom...who like to have fun, are okay with being sweary, want to know they are not alone, want to be better, want to do better, and want to grow as a person.'",['en'],Tatiana Amico
1763,7ixs9Dizad1W4NJ9P8I8aN,Small Cap Stocks Today,"Small Cap Stocks Today feature CEOs of publicly traded companies along with analysts, financial journalists, bestselling authors and financial television personalities.  In addition, we offer information on a host of companies within the public market sector to take a look at from time to time as well.  This program is entirely produced and sponsored by Cervelle Group which is responsible for the content.  Opinions and information provided on this program are those of the guests and those of the respective companies they represent and do not necessarily reflect those of the staff or management of Cervelle Group.  Small Cap Stocks Today encourages all listeners of this program to do their due diligence and research when determining investment strategies that will work for them or to seek the assistance of an investment professional.   The guests of this program may have paid for its distribution and are not directly affiliated with Cervelle Group or Small Cap Stock Today.",['en'],Small Cap Stocks Today
1764,0WOOAud5IXQLjOhOHyHMwP,GirlMeanBusiness ,"My name is Oyinkansola, founder of Girl Means Business.  Girl Means Business was born based off my passion to teach savings and budgeting in a fun way.. . . To provide financial resources and guidance in a creative and non-judgmental way... . . It is rare that a conversation around PERSONAL FINANCE comes up at home, with friends , at work and even in our school systems...As a result of this, I decided to fill in the gaps 😊💪🏿 .",['en'],GirlMeanBusiness 
1765,0T1QucfkeNbAzKVzn4QGKZ,Your Financial Pharmacist,"The Your Financial Pharmacist Podcast is designed to empower pharmacists and pharmacy students to take control of their personal finances. Your hosts are the team at Your Financial Pharmacist: Tim Ulbrich, PharmD, Tim Church, PharmD, BCACP and Tim Baker, CFP.",['en'],"Your Financial Pharmacist, LLC"
1766,6ZaiE1ptLHwZXNfTZisko8,Richer Soul - Life Beyond Money,"Welcome to Richer Soul - Life Beyond Money - The last Baby step.  It's about your journey to more a purposeful, intentional, amazing life. Where are you going to go and how are you going to get there? Let's figure that out together. At the core is the financial well being to be able to do what you want, when you want, how you want. It's about personal freedom and abundance.",['en'],Rocky Lalvani
1767,3z7khJaEiqtjcGFAax4O1x,"School Smart, Money Stupid","This podcast explains the basic building blocks for a successful financial future. We will explore and discuss financial topics such as: budgeting, credit/credit cards, investments, student loans, and various other topics. Learn from two Personal Financial Planning students on how to take control of your financial life.   Contact: giardino@ksu.edu or joshpayne5@ksu.edu with questions, comments, or topic suggestions. ",['en'],Jack Giardino & Josh Payne
1768,2bWAW4woStCFenQ0Uy1BA0,Memories Generations Legacy,"With Mother’s Day approaching it makes you want to honor mother. Talk about the wonderful times you shared with your mother. If your mother is deceased, like mind this could be a sad time or, you can make it a happy time thinking of the memories that you shared together and celebrate your mother’s life. In this episode I’m going to talk about family memories, generations and legacy.Today’s show sponsor: Larry Bennett, Personal Financial Educator Website: http://LNBennett.myecon.netEmail: LNBennett03@yahoo.com“Your Life Movie” eBook by Arnessa Bennett, MDivTo purchase go to: www.Arnessa.comOr call 501-993-2567",['en'],The Arnessa Bennett Show
1770,0fgfGMTalbACCUkeGTJKrH,"The ""Money Matters"" Podcast",Since 2005 Solution Loans has been helping people all over the UK find solutions to their personal finance problems. As a leading online credit broker we believe in helping to educate people make better financial decisions. Our podcast is part of this programme of work. Find out more at https://www.solution-loans.co.uk or at our specialist guarantor loan site https://guarantor-loans.co.uk,['en-GB'],Solution Loans
1771,1Eg2JNP5r7skcCpkUvVMW4,Unbounded Conversations,"The Unbounded Conversations series features discussions between Unbounded Managing Partner Zach Resnick, Principals Dave Mullen-Muhr & Jack Laskey, & various guests building businesses on Bitcoin. In this series they discuss the possibilities of what Bitcoin can accomplish at scale, the metanet (the internet on Bitcoin), & how the businesses being built on top of Bitcoin will proliferate. Brought to you by Unbounded Capital. The materials provided are for information only and do not constitute as an offer. For investment advice, please consult professional advisors. Neither Zach nor Jack are financial advisors. The information contained in this podcast episode has been compiled with considerable care to ensure its accuracy at the date of publication. However, no representation or warranty, express or implied, is made to its accuracy or completeness.We shall not be responsible for any consequential effect, nor be liable for any direct, consequential, incidental, indirect loss or damage, howsoever caused, arising from the use of, inability to use or reliance upon any information or materials provided on this podcast, whether or not such loss or damage is caused by us. Links to third party sites are provided for your information only. The content and software of these sites have been issued by third parties. As such, we cannot be responsible for the accuracy of information contained in these sites, nor be held liable for any loss or damage arising from or related to their use.Investors should be cautious about any and all cryptoasset and investment recommendations and should consider the source of any advice on cryptoasset selection. Various factors, including personal or corporate ownership, may influence or factor into an expert’s stock analysis or opinion.All investors are advised to conduct their own independent research into individual cryptoassets before making a purchase decision. In addition, investors are advised that past cryptoasset performance is no guarantee of future price appreciation. Do not invest money you cannot afford to lose. All investments come with a degree of risk.",['en-US'],Zachary Resnick
1772,1pwjc1mcvKn0CBHUMUhmhE,Weekends Count Magazine - Education & Family Travel,"The Weekends Count podcast focuses on family finance/personal finance, fun family activities, and family travel. Tune in each week for a new podcast upload that will help your family make the most of their time together while saving money!",['en'],Drs. Jennifer and Tony Edwards
1773,4QgAGg62tdqKEIZWsDSQuh,The Goal Standard,"Stories of success, and actionable steps to help you glow up in your career, finances, personal life, and so much more.   Host Lené Hypolite is on a journey to find out what it take by interviewing boss women and men who are successful in their own right. The Glow Up Podcast highlights the part that you won't see on social media.",['en'],Lené Hypolite
1774,288L8IPvCBuxKHNkwMsOcq,Going Through It,"Just when you think you have things figured out, life loves to throw you a curveball, or at least that’s been our experience!  Being an adult is like being on a never ending roller coaster, full of ups and downs. While it can be a bumpy ride, you’re not alone. With “Going Through It”, Nat and Kenechi share their personal experiences growing up in NYC together. From relationships, sex, and breakups to finances and career advice, no topic is off-limits for this dynamic duo.  Our goal as we create this podcast is to share our experiences, struggles, and triumphs with you so that you can know you’re not alone and that we can all do this together.",['en'],Going Through It
1775,6Jwnb0RiRDV14XxgcTg4gQ,BREATHING FIRE 🔥 - Official BeastLIFE Brand PodCast ,"Welcome to BREATHING FIRE! Here we discuss philosophies, tips & strategies on all different areas personal empowerment. Geared towards Entrepreneurs, Leaders and those that want MORE in life. **We cover topics that will advance your fitness 🏋🏽‍♀️, business , relationship 💏, finances 💵, fulfillment 😁 and more. We jam out on the art of Happiness. Let’s develop Purpose, Passion & POWER! Live with Fire 🔥 or Die with Regret. God Bless You ",['en-US'],Fired Up Phil
1776,4KJOiWLyeNYV2hDgMyGLAD,Eden Live Talks,"This is my journey to discovering how to create a simple yet fulfilling life. Here, I share my freelancing journey, self-growth, self-discovery, and self-development. Hoping I could inspire people to live the life they dream of through intentional living. I also share how I manage my personal finances and hope to inspire others on how to be frugal and wise in spending their hard earned money. I am one of those who advocates financially free and debt-free life. I always look forward to sending positive vibes to everyone in any way and best that I can.",['en-US'],Eden Bregala
1777,00pdsYQO6Py4JWPirOaAWd,Money Making Sense,"Money Making Sense is a 2017 and 2018 Peoples Choice Podcast Awards (#PCA17, #PCA18) finalist.  Host Heather Kelly focuses on how to find financial peace by better allocating your paychecks and analyzing the impact of simple family decisions.  Episodes approach the topic of personal finance from a cost-savings and revenue-generating perspective. Covered topics include: vacationing on a budget, accumulating retirement savings on a limited income, reducing household expenses, the financial impact of owning a pet, and how money affects relationships. Money Making Sense will give you practical ideas on how to improve your bottom line.",['en'],KSL Newsradio
1778,72IcKXGxOvyeQuY5waQTYc,Thurow Financial,"Thurow Financial is about real life financial organization and how it revolves around your daily lifestyle.  Eric Thurow teaches you how to organize, manage, and budget your money, get out of debt, build wealth, and live in financial freedom and prosperity.  Managing your money and being debt free will reduce your stress on life, improve your personal relationships, and provide security for retirement.",['en'],"Thurow Brands, LLC"
1779,1PoqcKNEAlUQly0YNMgOKB,Live2Inspire,"Welcome to the Live2Inspire podcast where great things happen. If you are still trying to find your path or purpose, vision, destiny and passion in life. Or maybe you really want to grow all round from you finances, leadership, relationship and career life, look no further this is the best place to be. As a leading personal development agent and Coach I did help you hone your innate gifts into skills and help you maximize your leadership potential. ",['en'],Precious Oha
1780,2pX9aP1FpXOru56MAFMBmJ,Moments2Success ,"This podcast is about success, in life, work and finance. I will be talking about personal development, personal finance, investing, becoming happier and all that comes to it. ",['en'],Moments2Success
1781,4qPM15RFKmQCwn3GITbA6f,Financial Pillar ,"In this podcast I will talk about a variety of topics concerning personal finance. I am still a student, so I talk about my personal experience and advice I gained from accredited individuals. I am here to bring you as much value as I possibly can.",['en-US'],Joshua Carter
1782,70YCHam0ZFmeE4EB0yllcE,Movement Mortgage Mike,"Welcome to The Movement Mortgage Mike podcast. My show is all about education and teaching people about personal finance, real estate and entrepreneurship. My mission is to empower individuals by providing knowledge into their lives. ",['en'],Mike.easton@movement.com
1783,4NjdEOizZe89LHhn7pBIIF,Everyday Practices,"The Everyday Practices Podcast follows Vicki McManus Peterson and Dr. Chad Johnson as they interview dental professionals – from industry greats to the dentist across the street - about everything related to practice ownership from  productivity, to finances, best practices for patient interaction, personal habits and health, leadership and team building skills, and more.",['en'],Dr. Chad Johnson & Regan Robertson
1784,0XpbXbsN1BKHlB2t73hcZN,Personal Finance Podcast,Podcast for a personal finance class talking to my mom. ,['en'],Lily Beck
1785,1KZm0auEk7IB9UdfIaNndA,Online Personal Finance ,Talks with my family about financial topics,['en-US'],Lydia Stiles
1786,2ovzoa36KNboyQ5Bf78Oqb,Online Personal Finance,Podcasts from my online personal finance class.,['en'],Anna Ronan
1787,6LOstP5A2mILu7iGR7md6s,Personal Finance Podcast,"Money, how to use it, and set up your life.",['en-US'],Adam Z. Dagostino
1788,4UM4RBbI2hjE4pyPIjt0ga,Online Personal Finance Podcast,"I interviewed my mom about money in her life, how she feels about it and what she does with it.",['en'],Betty Christianson
1789,5Hrw3IdckTa8ii9pdKCKp3,Top 11 Personal Finance Hacks,This podcast has two segments where 11 personal finance hacks are presented. The first of the two segments deals with the first 5 hacks and the second segments discusses the last 6 hacks ,['en'],Cuauthemoc
1790,09stI23MYaLAkMCsXSvROL,InfoTrack,"InfoTrack is a technology company with a leading SaaS platform that provides intelligent search and automated workflow for professionals across the legal, conveyancing, banking, finance, insolvency, surveying, mercantile, accountancy and government sectors.We are an indispensable partner, whose proprietary software platform helps businesses swiftly find critical information pertaining to property, company, personal and national search data.Our superior software can be seamlessly integrated into third party practice management systems, document management solutions and accounting software to deliver significant efficiencies. This allows our clients to improve their productivity, increase their profitability and stimulate their growth.",['en'],InfoTrack
1791,7qXhCIqWYYCH9oCp5z10QR,A Doctor's View on Personal Finance ,I talk to my father about how views money and what has played into that. ,['en'],Brynne Kelley
1792,51pctpp1zUyPF5leg4uAGF,Leave Nothing To Chance,"Leave nothing to chance is a podcast series from CommBank that shares insightful conversations with some of Australia’s most inspiring small business owners. Our guests all know that being responsible for every aspect of a business means leaving nothing to chance. They’ve been there, done that and they’ve lived to tell the tale. Each episode we talk to different business owners about real issues such as setting up your business, dealing with customers, generating growth, and managing your finances.Disclaimer: Guests featured in the podcast were CBA clients at the time of recording and are speaking from their personal experience only. This podcast is not intended to provide advice. The host Yianni Agisilaou was employed by CBA specifically for this podcast series.",['en'],CommBank
1793,0179sXXWLOHhzeyBmb6UgS,Maggie's Podcast with Pat McInerney: Online Personal Finance,"I interviewed my dad, and discussed investing, banking, the stock market, and spending habits past and present.",['en'],Maggie McInerney
1794,4kNCAK7bOO9ooh7PKiqL0r,Future-Proofing you and your business,"This podcast shares Executive Consulting and Life-Coaching advice that is dedicated to helping Entrepreneurs, SME company owners, and Business Innovators to optimise their business activities and operations, as well as achieve a life-balance while ""future-proofing"" their personal, organisational and financial goals.",['en-GB'],Kevin Purves
1795,1jutn0lyDXGLltOdZ3KyFS,The Confident Wallet™,A personal finance podcast series by T. Rowe Price and The Washington Post BrandStudio that inspires long-term success through informed decisions on saving and investing. The Washington Post newsroom was not involved in the creation of this series.,['en'],WP BrandStudio / T. Rowe Price
1797,5su4k1VHGRsMXh9hQAQg7J,PersonalMoneyService,We are the financial company that's here for you. Our goal is to help you handle your financial emergencies. The online installment loans we offer are designed to build you up. We treat our customers like family. You earned it! ,['en'],PersonalMoneyService
1798,0MFdM6cw5fD8Pit6bw8wZQ,Talking Finance,"Talking Finance is dedicated to helping you establish and meet your financial goals. Hosted by, Eric Brotman, Chief Executive Officer of BFG Financial Advisors and Traci DeForge, Executive Producer of the Personal Finance Podcast Network.  Are you just stepping out into the real world and know little about personal finance? Are you trying to nip a nasty spending habit or break the credit card cycle? It’s time to discover the Personal Finance Podcast where the podcasts are for people just like you who want to learn personal finance basics and find motivation for getting their money management on track.",['en'],Traci DeForge and Eric Brotman
1799,3sSi4jkpmta0yfD4YVDwhO,Financial Healer,"Discuss all aspects of personal finance including, banking, credit and investments",['en'],Frank Wilkinson
1801,2ENRXrxWaBvM2jsIbOia6u,Financial Freedom ,This podcast is all about how a common person can achieve financial freedom.,['en'],Bash chishi
1803,4d4R29uErSgGBd001mpDY6,Frankly Financial,"A podcast fully focused on helping you live your fullest life through sound financial planning. Throughout this series, we’ll attempt to cover anything and everything related to personal finances in hopes of helping you get every single dollar working in unison towards your unique life goals.",['en'],Alan Franks
1804,40JH9agJSFpUEqm4jRQfg8,Life Changing Financial Enterprise ,Welcome to Life Changing Financial Enterprise were we will be discussong some life changing things...Business Credit and Personal Credit. Gear up for this Life Changing Experience ,['en'],Life Changing Financial Enterprise
1805,42mK1m0j2E3IkotE86Fo4W,Finance With Sola,"Your one-stop podcast for all things personal finance, investment and economy. ",['en'],sola osonuga
1806,1uCpdfxnodqXBppRLCWgar,Taking Flight Finance,Helping you take off on your journey towards fulfilling your personal financial goals,['en'],Mark
1807,1xpkcl5Udjg5Ln5Zgev7YN,Know Your Finances,Conversation between a layman and a professional to understand and handle basic personal finances.,['en'],Dailyheed
1808,4QHwcaIMpGRsQP8stCyMbi,Finance with JCL,"My channel is for personal finance management, with a focus on long term investing for new and intermediate level investors.",['en-GB'],Jason Linsdell
1809,4gyyvw299bYkBj4krVWv8z,Mr. Finance Updates,This is where I will narrate some of the articles from my blog mrfinanceupdates.com as well as my favorite articles about personal finance!,['en'],Mr. Finance Updates
1810,4bJXdAcgMR5RsFYyP8ira7,Let's Talk Financing,"Hello, it's your host Josie Fox! On Let's Talk Financing I'll take you along with me as I navigate the world of personal finance. ",['en'],Josie Fox
1811,1lfhNBVK14jbanMXeHECvc,Financial Wellness Show,"Hirsch Serman, MBA, CPA founded Lifecycle Financial, LLC is Host of Financial Wellness Show from Chicago, Illinois.Financial Wellness Show - Hirsch Serman, MBA, CPA, will share tips, money savings advice and need to know financial information as we move forward in today's world.  Together with his variety of guests, they will home in on issues such as, saving money in divorce, need to know financial advice after relationship loss, taking those first steps alone, tax savings tips, financial care-giver advice, financial aspects of business, these and so much more... as our lives revolve around financesA bit more about Hirsch...​Hirsch Serman, MBA, CPA founded Lifecycle Financial, LLC through his personal experiences related to divorce and the struggles of an aging parent after the sudden loss of her husband.   He has worked in finance for over 20 years (including financial planning and tax) and has taught on the university level, presented at national conferences, as well as conducted seminars for high school youth on personal finances.  Hirsch is a member of the National Association of Divorce Professionals (The NADP), the American Institute of CPAs (AICPA), and American Association of Daily Money Managers (AADMM). Hirsch has been featured by several media outlets relating to work in and articles on Divorce, including: Inc., The Divorce Coaching Hour Radio show, DivorceMoms.com, DivorceMag.com, The New Southern, Funding Sage, and others. He was selected to be a New Orleans Entrepreneur Week Fellow.  Hirsch has a passion to serve others and has worked with numerous non-profit boards including the United Way and is a trustee of Texas College. ​Hirsch Serman, MBA, CPA(312) 985-6648 Hirsch@lifecycle.financial Lifecycle.Financial",['en'],WGSN-DB Going Solo Network
1812,6BXaa81OB0sq1mRMJQysTq,The Personal Coach,Customized One-on-One Business Coaching for Financial Advisors. ,['en'],The Personal Coach
1813,31gmG1b4yGLzrGZV15oqwV,Dane Valley Financial Services ,"At Dane Valley Financial Services, we provide personal financial advice to private and corporate clients in and around the Cheshire Area. Planning for the future, for family or business, is one of the most important steps you'll ever take. We provide a face to face, personal service based upon excellence and integrity and will work with you to reach your financial aspirations and achieve your financial goals. These podcasts will give you an insight into Financial Services, client testimonials and how we work with professional connections. Enjoy!",['en'],Dane Valley Financial Services
1814,0iSK5w3zVEPUaRqM2wRD8E,Some Personal News 🎉,"FRANK CONVERSATIONS ON THRIVING VS SURVIVING, COMPARISON ON SOCIAL MEDIA AND WTF WE'RE ALL DOING. Relationships, Career and Finances.",['en'],Nataleigh Ballantyne
1815,1jwvxptJtKeVeaKNCtwPVj,#MrinTalks - The Financial Independence Podcast,A podcast by Mrin Agarwal where she talks about various topics related to personal finance. ,['en-US'],Finsafe India Private Limited
1816,1eik6C9R5DIxuXEuqQsrzA,Financially Free with Kathleen Currie,"A podcast for the aspiring entrepreneur who wants to get their finances on track so they can pursue their passions.  We discuss all things finances, mindset, and personal development.",['en'],Kathleen Currie
1817,1okCyq86zY80tG3ct3dXKJ,Simplified: The Financial Planning Podcast,Hosts Dan Driver and Garrett Adams break down complex financial matters for you! Providing you with actionable information that's not personally biased. Send Inquires: simplifiedfinancialpod@gmail.com Disclaimers: This podcast is for educational purposes only. Anything said should not be construed as advice. If you're interested in financial planning or investments offered by Dan and Garret send us a email. ,['en'],Ryan Beesmer
1818,50qJiX4nAuzwXDfHkOqHB1,Minimalism in Your Personal Life,"Minimalism is all about living with less. ... For many minimalists, the philosophy is about getting rid of excess stuff and living life based on experiences rather than worldly possessions. You can probably see how having less stuff can also free up your life financially.",['en'],Felix Jordan
1819,2nRVFmqPRGs19xypH3v6Qu,Best finance and investment podcast at transfin.in,Looking for a finance podcast on business and finance? Transfin has the best collection for finance and investment related podcasts that help in personal financing planning and investment advice.,['en'],ctransfin
1820,5C4vtf4ii1k5cXo27p7r05,"Your Financial Guide: For Women, By Women","A podcast to help women find their financial flow for their business, family, and life.Welcome to Your Financial Guide, a podcast for women by women who are taking control of their personal and business finances in order to THRIVE! This podcast will help you find your financial flow for your business, family, and life! Host, Nadine Burns, is the President and CEO of A New Path Financial and is a Nadine Burns is a CERTIFIED FINANCIAL PLANNER™ Professional.",['en-US'],"Nadine Burns, A New Path Financial"
1821,05iykWTxzLKL1jZOflhiMk,You can have it all,"A podcast for moms who want to have it all.   Because you CAN have it all! The kids, the spouse, the beautiful home, the financial freedom and the ability to be there for your kids all while having a successful business.   Every week I'll talk to you about business, mindset, motherhood, marketing and personal development so you can become your highest self and build the life of your dreams. ",['en-CA'],You can have it all
1822,6W32h8psAoT0wQVMResyz8,Investing IQ,"Favorite Stock Scanner for active traders/investors: Trade Ideas ** bit.ly/2BNWWCz **   Favorite Crypto Exchnages:  Binance: https://bit.ly/2BVuGv0 Coinbase: https://bit.ly/2Ci7hDM  This podcast covers topics from personal finances, charting, fundamental analysis, crypto and more!   None of the stocks, commodities, crypto discussed are formal recommendations to buy or sell. This program is for educational purposes only. Buying or selling securities carry a high amounts of risk.   YouTube Channel: https://bit.ly/2U2yir8  Twitter: https://twitter.com/InvestingIQ1 Support this podcast: https://anchor.fm/investingiq/support",['en'],InvestingIQ
1823,7auwTAXHSWNEhkGopyhosk,The Alchemy Parlour: Soulful Self Help,"The Alchemy Parlour w/Certified Professional Coach & Ordained Metaphysical Minister/Practitioner, Danielle M. Holdman, CPC are conversations centered around spiritual, personal &professional development for the soul. Topics: practical spirituality, transpersonal experiences, shadow work,vocation & financial alchemy, selfcare, sex, creativity, social & spiritual inclusion & more!",['en'],"Danielle M. Holdman, B.Msc.,CPC"
1824,4zDbTOD4p4OgMegzTmSBHW,everypeso,"People can be in control with their lives and their money. The challenge is knowing Why, How, and Where to start. Learn about the common sense approach to personal finance. Message us here for questions, tips, and advice. ",['en'],everypeso
1825,1vaiLIWQWFB7IFnlowb4RG,Minimalism On Wheels,"This is the first and only podcast about living as a minimalist in a camper van.   My name is Gurgîn and I used to live the Swedish dream, but I realized that there's was more to life than the 9-to-5 lifestyle so I decided to sell and donate all off my stuff, I quit my job as a radio host and bought a RV so that I could travel and live cheap with my dog Ronja.   On this show, I share personal development strategies about minimalism, simplifying, organizing, personal finance and veganism that you can use so that you can get the most out of your life.  I’m on a mission to a 1-day work week so that I can travel and run my business at the same time so subscribe to this podcast if you can't enjoy your 4 weeks of vacation for 48 weeks of work so that you can pay your debt on house loans!",['en-US'],Gurgîn Bakircioglu
1826,2o0aJFFrGrGeqDHwR8AZR4,Accelerator,"Accelerator follows the stories of Central Florida Startups as they apply for, participate in, and graduate from Starter Studio - an Orlando-based tech startup accelerator program. Each season of Accelerator will follow a class and document their background, challenges, growth, and eventually show off their progress during demo day. It won’t all be roses. The challenges of an accelerator program can be taxing. But the potential rewards will be revealed in this Shark Tank meets The Apprentice reality-show style podcast. Starter Studio provides education, mentorship, legal and financial resources, networking opportunities, and the right culture to help innovative solutions grow. We will document it all in this story-based podcast - including sharing wisdom from tech startup founders and mentors as they mentor our tech startups. You’ll learn along with our tech startup entrepreneurs as they firm up their businesses in the area of raising capital, pitching investors, customer validation, legal, accounting, marketing, intellectual property, team building, and every other skill necessary to grow their company. Will our ‘starters’ fail? Will they flourish? Will personalities clash? Will they attract investment capital? Don’t miss a single episode as we reveal what happens each week.",['en'],"Starter Studio, Josh Elledge, Bryan Orr"
1827,3XonXD9EDGUQBWNyGBqKLk,Outside The Box,"I’m Briant Person and my co-host is the one and only Denzel Scotton. We run a podcast called Outside the Box which is a weekly show about Self-Improvement, Sports, Fatherhood/Motherhood, Relationship advice, and Financial literacy. ",['en'],Briant Person
1828,00lblTLmNcO3jck4iCTndw,"""A day with Andy""","Welcome to my show! This is ""A day with Andy"" Podcast. where I talk about people, religious views, lifestyles, personal finances, education, science, or other special interests and anything under the sun where amazing things happen.",['en'],Andy Jun Sanchez - Bautista
1829,4bIgInmC5jyK3utnDtxSsL,Maximize Your Life with Dr. Regina Banks-Hall,"Join Motivational Speaker, Author, Professor, and Leadership Strategist, Dr. Regina Banks-Hall, President of RBH Professional Development Institute, along with her guests for an intimate conversation on life, love, relationships, finance, personal and professional growth. It's Time to Maximize Your Life!!",['en'],Dr. Regina Banks-Hall
1830,0qc9ztbAQA6YngXjaMsgYt,Real Estate on the Go! ,"Entrepreneurship, Creativity and the art of being independent. How to free yourself from the 9-5 rat race and live a fulfilling life. I'll talk a lot about Entrepreneurship, Real Estate Investing, Personal Finance, and other areas of personal development. All posts less than 5 minutes long.   The first few episodes are a work in progress, I’m still figuring out all of the tools but I wanted to get the information out to you. They are doublées so if you want to hear the 2nd & forth episode just fast forward to 5:40 to start the next episode. ",['en-US'],Joseph Vogel
1831,40lyP3VEx7FnFWoHTCfCS2,Clayton Ray,"This is going to be my daily podcast. I'll talk about God, business, entrepreneurship, finances, my personal life, and so much more. Support this podcast: https://anchor.fm/iamclaytonray/support",['en-US'],Clayton Ray
1832,2yJk08uYdZpeBZmNF0dmoE,FINSMART with Tunmise,"FINSMART is a financial literacy podcast with the goal to improve your personal finance,understanding of the financial market and investment portfolio.   Your #1 source to becoming financially literate 1. #Investing 2. #Personal Finance 3. #Business 4. #Opinions from Financial Industry Experts",['en-GB'],Tunmise Olaoluwa
1833,6PPZ3TZLRKpFzi6RLL4cVV,Ben Steele,I am a personal finance enthusiast. In this show I talk about personal finance best practices and news.,['en'],Ben
1834,6ZSH3KxDGCiPZ30AIw0jPP,Making of a Millionaire ,This is a “how to” personal finance podcast. Every week I’ll discuss a different personal finance topic in less than 20 minutes. ,['en'],Ben
1836,4xkP3SSWT0qHwFYMRkSQCP,Professor Cardworthy ,"Professor Cardworthy is the Money Explainer, covering all personal financial areas built on an unprecedented background of educating and advocating for consumers and financial institutions simultaneously, as well as unbelievable personal experiences with a dose of wisdom and humor.",['en-US'],Professor Cardworthy
1837,7vcOAT1TRBIz92xXMTImXA,In Common Company,"Personal finance and personal growth, let's do this together!",['en'],multiculturalmiss
1838,6obHNiXFpoZyoWwJd5vezs,Holistic Accounting,We’ll talk about tax strategies. Making business more productive improving the bottom line. Will also touch base on personal finances and what can be done to improve them. Along with the mentality it takes to be successful in both personal and business finances,['en'],Kevin De Vargas CPA
